#   GENERATION   BEST_LENGTH     BEST_HALF       STD_DEV
           349       6.25349       7.67219       1.75848
           350       6.25349       7.68145       1.84795
           351       6.25349       7.35349       1.51565
           352       6.25349       8.51893        2.1165
           353       6.25349       7.90394        1.7756
           354       6.25349       8.22115       1.57417
           355       6.25349       7.89195       1.77047
           356       6.25349       7.13938       1.36605
           357       6.25349        7.0755       1.16401
           358       6.25349       7.21327       1.26035
           359       6.25349       7.33221       1.37604
           360       6.25349       7.02888       1.10463
           361       6.25349       6.63033      0.665297
           362       6.25349       7.10331       1.23596
           363       6.25349       7.59421       1.63999
           364       6.25349       7.05387       1.28713
           365       6.25349       6.92179       1.19245
           366       6.25349       7.55344       1.63779
           367       6.25349       7.08841       1.18475
           368       6.25349       7.21962       1.01521
           369       6.25349       7.31128       1.30875
           370       6.25349       7.37034       1.34779
           371       6.25349       7.71941       1.54954
           372       6.25349       6.88019       1.09526
           373       6.25349        6.8092       1.06411
           374       6.25349       6.87565       1.15322
           375       6.25349        7.0176       1.28051
           376       6.25349       7.32866       1.60032
           377       6.25349       8.56501       2.18142
           378       6.25349       8.04952       1.84267
           379       6.25349       7.81203        1.5845
           380       6.25349       8.28836       1.99641
           381       6.25349       8.04261       1.75174
           382       6.25349       8.41057       1.87227
           383       6.25349       8.61205       2.18692
           384       6.25349       8.47624        2.2203
           385       6.25349       8.41635       1.83621
           386       6.25349       8.54445       1.96944
           387       6.25349        7.7495       1.54071
           388       6.25349       8.16577       1.65203
           389       6.25349       8.10334       1.39809
           390       6.25349       8.11027       1.67683
           391       6.25349       8.19767       1.70089
           392       6.25349       8.10286       1.81791
           393       6.25349       8.59871       2.22367
           394       6.25349       8.26255       1.87186
           395       6.25349       7.99431       1.72353
           396       6.25349       7.67872       1.41636
           397       6.25349       7.91815        1.4958
           398       6.25349       7.63394       1.32206
           399       6.25349       7.71122        1.4323
           400       6.25349       7.51308       1.48037
           401       6.25349       7.36308       1.20362
           402       6.25349       7.08898       1.28454
           403       6.25349       6.93101       1.06575
           404       6.25349       6.87157       1.07434
           405       6.25349       7.28682       1.21233
           406       6.25349       7.50375       1.49225
           407       6.23127        7.5433       1.54044
           408       6.23127       7.64826       1.66188
           409       6.23127       7.79446       1.55126
           410       6.23127       8.18351       1.91327
           411       6.23127       7.36047       1.54815
           412       6.23127       6.91601       1.14132
           413       6.23127       6.81399       1.10063
           414       6.23127       7.10796       1.36233
           415       6.23127       7.00981       1.14779
           416       6.23127       7.27355       1.12396
           417       6.23127       6.87985      0.899395
           418       6.23127       6.97933       1.12623
           419       6.23127       6.52237      0.587114
           420       6.23127        7.0672         1.286
           421       6.23127       6.53069      0.698632
           422       6.23127       7.29493       1.35996
           423       6.23127       7.71818        1.8436
           424       6.23127       7.93328       1.75091
           425       6.23127       8.14239       1.75778
           426       6.23127       8.48991       1.86267
           427       6.23127       8.63944        1.7898
           428       6.23127       8.37715       1.73649
           429       6.23127       8.04322       1.64515
           430       6.23127       7.44775       1.47765
           431       6.23127       7.35854       1.49655
           432       6.23127        7.4494        1.6639
           433       6.23127       7.01832        1.1487
           434       6.23127       7.56842       1.49709
           435       6.23127       7.61432       1.74279
           436       6.23127       8.05983       1.71174
           437       6.23127       7.73736       1.71368
           438       6.23127       7.32146       1.43389
           439       6.23127       7.18862       1.36399
           440       6.23127       6.69641       0.87861
           441       6.23127       6.47106      0.564088
           442       6.23127       7.46815       1.54676
           443       6.23127       6.96835       1.26889
           444       6.23127       6.88114        1.0384
           445       6.23127       7.15818       1.30679
           446       6.23127       7.18103       1.12972
           447       6.23127       6.93821       1.13074
           448       6.23127       6.80846       1.02516
           449       6.23127       6.59531      0.807157
           450       6.23127       7.79311       1.78325
           451       6.23127       7.67142       1.67993
           452       6.23127        7.9054       1.96665
           453       6.23127       8.59994       1.94586
           454       6.23127       7.79352       1.66862
           455       6.23127       7.72159       1.48821
           456       6.23127       7.73821       1.67894
           457       6.23127       7.47273       1.51944
           458       6.23127         6.786      0.750632
           459       6.23127       7.18725       1.18715
           460       6.23127       6.88718       1.02144
           461       6.23127       7.56729       1.50401
           462       6.23127       7.94178       1.52423
           463       6.23127       7.29015       1.42054
           464       6.23127        7.8238       1.76343
           465       6.23127       7.51273       1.55483
           466       6.23127       7.47427       1.46811
           467       6.23127       7.40992       1.42946
           468       6.23127       8.08813       1.87794
           469       6.23127       8.09506       1.66711
           470       6.23127       8.03069       1.88412
           471       6.23127       9.56713       2.24687
           472       6.23127       8.73154       1.70562
           473       6.23127       7.96556       1.74011
           474       6.23127       7.69133       1.58992
           475       6.23127       7.53821        1.5701
           476       6.23127       7.47137       1.50634
           477       6.23127       7.26848       1.35625
           478       6.23127        7.8092       1.49037
           479       6.23127       7.86183       1.67286
           480       6.23127       8.65626       2.00233
           481       6.23127       8.46211       2.05987
           482       6.23127       8.21012       1.78293
           483       6.23127       8.81734       2.10358
           484       6.23127       9.37972       2.11526
