#   GENERATION   BEST_LENGTH     BEST_HALF       STD_DEV
           439       10.3891       11.0195      0.962962
           440       10.3891       10.8061      0.658981
           441       10.3891       10.6593      0.513719
           442       10.3891       11.3319       1.15439
           443       10.3891       10.9531      0.855247
           444       10.3891       11.0135      0.785777
           445       10.3891       11.3211       1.14555
           446       10.3891       11.2127       0.88369
           447       10.3891       10.9484      0.715473
           448       10.3891       10.9604      0.870312
           449       10.3891       10.6919      0.580151
           450       10.3891       11.4854       1.19586
           451       10.3891       11.1625       1.12061
           452       10.3891        11.421       1.38196
           453       10.3891       11.6445       1.49227
           454       10.3891       10.8746      0.725714
           455       10.3891       10.8445      0.708295
           456       10.3891       11.0507      0.871568
           457       10.3891       11.0768      0.884544
           458       10.3891       10.6855      0.482687
           459       10.3891       10.8409      0.617821
           460       10.3891       10.6687      0.516078
           461       10.3891       11.0316      0.908362
           462       10.3891       11.2143      0.940089
           463       10.3891       11.0355      0.867933
           464       10.3891       11.3546      0.979336
           465       10.3891       11.0951       0.81836
           466       10.3891       11.3891        1.0993
           467       10.3891       11.1784      0.938949
           468       10.3891       11.5422       1.18346
           469       10.3891       11.4115       1.18257
           470       10.3891       11.3984       1.14389
           471       10.3891       12.4161       1.45895
           472       10.3891       11.8659        1.2457
           473       10.3891         11.39        1.0999
           474       10.3891       11.0563      0.885124
           475       10.3891       11.2442       0.99451
           476       10.3891       11.4248       1.16737
           477       10.3891       11.2073       1.06583
           478       10.3891       11.5567       1.08779
           479       10.3891        11.469       1.20091
           480       10.3891       11.9352       1.47922
           481       10.3891       11.7779       1.37687
           482       10.3891       11.4491       1.12093
           483       10.3891        11.946       1.31562
           484       10.3891       12.1165       1.37907
           485       10.3891       12.2869       1.24536
           486       10.3891       12.3986       1.48693
           487       10.3891       11.6507       1.19828
           488       10.3891       11.2341      0.907318
           489       10.3891       11.6427       1.14539
           490       10.3891       11.4035      0.917463
           491       10.3891       11.5087       1.03521
           492       10.3891       11.0007      0.848912
           493       10.3891       11.8003       1.38785
           494       10.3891       11.1785       1.01082
           495       10.3891       11.7695       1.29186
           496       10.3891       12.0489       1.24187
           497       10.3891       11.2239      0.908419
           498       10.3891       11.3179       1.05683
           499       10.3891       11.5354       1.11444
           500       10.3891        11.172      0.941439
           501       10.3891        11.247      0.993739
           502       10.3891       11.4875       1.16556
           503       10.3891       11.4537       1.13179
           504       10.3891       11.7797       1.27871
           505       10.3891       11.6323       1.09413
           506       10.3891       11.9038       1.25524
           507       10.3891       11.6982          1.24
           508       10.3891       11.2788       1.05485
           509       10.3891       11.2911       1.09011
           510       10.3891        11.358       1.10487
           511       10.3891       11.1267      0.979609
           512       10.3891       10.9627      0.715197
           513       10.3891       11.0069      0.837129
           514       10.3891       11.2122      0.892517
           515       10.3891       11.4858       1.10265
           516       10.3891       11.5098        1.0777
           517       10.3891       11.3997      0.998478
           518       10.3891       11.1835      0.989215
           519       10.3891       10.9882      0.827744
           520       10.3891       11.0471      0.851292
           521       10.3891        10.627      0.449841
           522       10.3891       10.9517      0.833357
           523       10.3891       10.6483      0.527792
           524       10.3891       10.9953       0.87566
           525       10.3891       11.2283       1.05227
           526       10.3891       11.0561      0.873137
           527       10.3891       10.9586      0.681574
           528       10.3891       10.9895       0.75536
           529       10.3891       11.0602      0.924406
           530       10.3891       11.0912      0.891481
           531       10.3891       10.9991      0.876763
           532       10.3891       11.2356       0.98884
           533       10.3891       11.3879        1.0054
           534       10.3891       10.9373      0.726635
           535       10.3891       10.5236      0.291159
           536       10.3891        10.621      0.431414
           537       10.3891       10.6859      0.478402
           538       10.3891       10.7608      0.577286
           539       10.3891        10.898      0.679732
           540       10.3891       11.1352      0.809788
           541       10.3891       11.5321      0.998349
           542       10.3891       11.6095       1.23141
           543       10.3891       11.4916       1.08537
           544       10.3891         11.47        1.0016
           545       10.3891        11.613       1.13326
           546       10.3891       11.6843       1.28493
           547       10.3891       11.4813        1.0138
           548       10.3891       11.8433        1.2898
           549       10.3891       11.5639       1.19824
           550       10.3891       11.0004      0.834726
           551       10.3891       10.9428      0.774527
           552       10.3891        11.617       1.12932
           553       10.3891       11.4385       1.11406
           554       10.3891       11.0625      0.791171
           555       10.3891       11.4445       1.14309
           556       10.3891       11.2886       1.13755
           557       10.3891       11.0502      0.904353
           558       10.3891       11.1481      0.998613
           559       10.3891       11.3492       1.19234
           560       10.3891       11.6205       1.22595
           561       10.3891        11.589       1.04722
           562       10.3891        11.938       1.00324
           563       10.3891       11.8458       1.19824
           564       10.3891       11.7791       1.14079
           565       10.3891       11.3486       0.83828
           566       10.3891       11.3383       0.98339
           567       10.3891       11.1803       0.90229
           568       10.3891       11.1001      0.774862
           569       10.3891       10.9859       0.69118
           570       10.3891       11.2493       1.13491
           571       10.3891       11.3402       1.24746
           572       10.3891       11.4951       1.32922
           573       10.3891       11.4656       1.34204
           574       10.3891       11.6265       1.32292
           575       10.3891       11.1922        0.9332
           576       10.3891       11.2255       1.09616
           577       10.3891       11.5293       1.31154
           578       10.3891       11.9317       1.52802
           579       10.3891       11.6022       1.33708
           580       10.1473        11.572       1.25948
           581       10.1473       11.8821       1.21349
           582       10.1473       11.5452       1.13583
           583       10.1473       11.3603       1.17695
           584       10.1473       11.2234        1.0875
           585       10.1473       10.9803      0.911731
           586       10.1473       10.8412      0.951366
           587       10.1473       10.8947       1.02767
           588       10.1473       10.7757       1.00081
           589       10.1473       10.8498      0.865337
           590       10.1473       10.9947      0.938842
           591       10.1473       10.6996      0.726583
           592       10.1473       10.8679      0.851874
           593       10.1473       10.5112      0.603016
           594       10.1473       10.6353      0.781359
           595       10.1473       11.1738       1.28789
           596       10.1473       11.0072       1.02775
           597       10.1473       10.9521       1.04902
           598       10.1473       10.8332       1.01593
           599       10.1473       10.7849      0.929987
           600       10.1473       10.6478      0.786934
           601       10.1473       10.7688      0.876597
           602       10.1473       10.7145      0.762843
           603       10.1473       11.2613        1.2025
           604       10.1473       11.3779       1.19366
           605       10.1473       11.2186       1.21995
           606       10.1473       10.5835      0.788466
           607       10.1473       10.6704      0.829021
           608       10.0953       10.7719      0.878476
           609       10.0953       10.9258       1.06029
           610       10.0953       11.0329       1.11194
           611       10.0953       11.1809       1.08205
           612       10.0953       11.0916       1.06344
           613       10.0953       11.0021      0.985642
           614       10.0953       10.9923       0.98851
           615       10.0953       10.9285      0.967442
           616       10.0953       10.9997       1.09037
           617       10.0953        10.897      0.951087
           618       10.0953       10.9383       1.01718
           619       10.0953       10.8018      0.896355
           620       10.0953       10.7838      0.909759
           621       10.0953       10.7536      0.839067
           622       10.0953        10.547      0.702184
           623       10.0953       11.2001       1.32561
           624       10.0953       10.6249      0.843777
           625       10.0953       11.0015      0.968118
           626       10.0953       11.0514       1.06425
           627       10.0953        11.033       1.18131
           628       10.0953       10.7143      0.853002
           629       10.0953       10.4543      0.539939
           630       10.0953       10.3595      0.449762
           631       10.0953       10.5352      0.625474
           632       10.0953       10.8787       1.00016
           633       10.0953       10.7849       1.00138
           634       10.0953       10.7534      0.946272
