#    BLOCK:   VELOCITY:    ACTUAL_POFV:
           3     7.73333           0

           4           0           0
           4    0.266667  0.00287037
           4    0.533333   0.0140741
           4         0.8        0.02
           4     1.06667   0.0569444
           4     1.33333   0.0869444
           4         1.6   0.0861111
           4     1.86667    0.115648
           4     2.13333    0.151389
           4         2.4    0.101759
           4     2.66667   0.0905556
           4     2.93333    0.109444
           4         3.2    0.070463
           4     3.46667   0.0374074
           4     3.73333   0.0192593
           4           4   0.0184259
           4     4.26667  0.00990741
           4     4.53333  0.00425926
           4         4.8  0.00453704
           4     5.06667           0
           4     5.33333           0
           4         5.6           0
           4     5.86667           0
           4     6.13333           0
           4         6.4           0
           4     6.66667           0
           4     6.93333           0
           4         7.2           0
           4     7.46667           0
           4     7.73333           0

           5           0           0
           5    0.266667  0.00101852
           5    0.533333   0.0158333
           5         0.8   0.0181481
           5     1.06667   0.0576852
           5     1.33333    0.114074
           5         1.6   0.0892593
           5     1.86667    0.136019
           5     2.13333    0.164537
           5         2.4   0.0959259
           5     2.66667   0.0748148
           5     2.93333        0.08
           5         3.2   0.0482407
           5     3.46667   0.0336111
           5     3.73333       0.025
           5           4   0.0366667
           5     4.26667  0.00675926
           5     4.53333  0.00240741
           5         4.8           0
           5     5.06667           0
           5     5.33333           0
           5         5.6           0
           5     5.86667           0
           5     6.13333           0
           5         6.4           0
           5     6.66667           0
           5     6.93333           0
           5         7.2           0
           5     7.46667           0
           5     7.73333           0

           6           0           0
           6    0.266667  0.00037037
           6    0.533333   0.0171296
           6         0.8   0.0328704
           6     1.06667   0.0674074
           6     1.33333   0.0764815
           6         1.6    0.138704
           6     1.86667    0.153796
           6     2.13333    0.118148
           6         2.4    0.105556
           6     2.66667   0.0835185
           6     2.93333   0.0637037
           6         3.2   0.0485185
           6     3.46667   0.0302778
           6     3.73333   0.0350926
           6           4   0.0237037
           6     4.26667  0.00361111
           6     4.53333  0.00111111
           6         4.8           0
           6     5.06667           0
           6     5.33333           0
           6         5.6           0
           6     5.86667           0
